"index";"date";"time";"A";"B";"All"
"133";2019-10-16;12;"2019-10-16 12:00:00.000";370;41
"134";2019-10-16;13;"2019-10-16 13:00:00.000";370;43
"135";2019-10-16;14;"2019-10-16 14:00:00.000";370;44
"136";2019-10-16;15;"2019-10-16 15:00:00.000";370;43
"137";2019-10-16;16;"2019-10-16 16:00:00.000";370;45
"138";2019-10-16;17;"2019-10-16 17:00:00.000";370;42
"139";2019-10-16;18;"2019-10-16 18:00:00.000";370;32
"140";2019-10-16;19;"2019-10-16 19:00:00.000";370;31
"141";2019-10-16;20;NA;NA;NA
"142";2019-10-16;21;NA;NA;NA
"143";2019-10-16;22;NA;NA;NA
"144";2019-10-16;23;NA;NA;NA
"145";2019-10-17;0;NA;NA;NA
"146";2019-10-17;1;NA;NA;NA
"147";2019-10-17;2;NA;NA;NA
"148";2019-10-17;3;NA;NA;NA
"149";2019-10-17;4;NA;NA;NA
"150";2019-10-17;5;NA;NA;NA
"151";2019-10-17;6;NA;NA;NA
"152";2019-10-17;7;NA;NA;NA
"153";2019-10-17;8;NA;NA;NA
"154";2019-10-17;9;NA;NA;NA
"155";2019-10-17;10;"2019-10-17 10:00:00.000";370;41
"156";2019-10-17;11;"2019-10-17 11:00:00.000";370;48
"157";2019-10-17;12;"2019-10-17 12:00:00.000";370;45
"158";2019-10-17;13;"2019-10-17 13:00:00.000";370;36
"159";2019-10-17;14;"2019-10-17 14:00:00.000";370;36
"160";2019-10-17;15;"2019-10-17 15:00:00.000";370;38
"161";2019-10-17;16;"2019-10-17 16:00:00.000";370;41
"162";2019-10-17;17;"2019-10-17 17:00:00.000";370;49
"163";2019-10-17;18;"2019-10-17 18:00:00.000";370;38
"164";2019-10-17;19;"2019-10-17 19:00:00.000";370;35
"165";2019-10-17;20;"2019-10-17 20:00:00.000";370;4
"166";2019-10-17;21;NA;NA;NA
"167";2019-10-17;22;NA;NA;NA
"168";2019-10-17;23;NA;NA;NA
"169";2019-10-18;0;NA;NA;NA
"170";2019-10-18;1;NA;NA;NA
"171";2019-10-18;2;NA;NA;NA
"172";2019-10-18;3;NA;NA;NA
"173";2019-10-18;4;NA;NA;NA
"174";2019-10-18;5;NA;NA;NA
"175";2019-10-18;6;NA;NA;NA
